"Empresa Genera",Año,Mes,Planta,"Energia Punta","Energia Valle","Energia Noche","Potencia Gen Punta","Potencia Gen Valle","Potencia Gen Noche","Potencia Sist Punta","Potencia Sist Valle","Potencia Sist Noche","Fecha Max","Hora Max","Factor Carga","Consumo Diesel","Consumo Bun","Consumo Bun AZ","Consumo Otro","Consumo Lub","Gasto Diesel","Gasto Bun","Gasto Bun AZ","Gasto Otro","Gasto Lub"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","VENTANAS GARITA",6370124.113,9742035.359,10142637.836,93958.785,93346.395,80194.32,68539.07,70196.289,68263.764,24-12-0202,"Jan 1",0.3529,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","SAN ANTONIO GAS",0,0,0,0,0,0,0,0,0,28-12-0202,"Jan 1",0.0000,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ",SANDILLAL,2632166.823,4715396.935,5308634.498,29871.922,30189.357,29963.789,7334.483,23669.154,23712.625,28-12-0202,"Jan 1",0.5491,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ",TEJONA,1063768.44,1872998.837,2090584.424,9345.519,9082.704,9549.655,3522.558,4338.728,8256.832,15-12-0202,"Jan 1",0.5119,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","TORO I",1271729.052,2305132.308,2397489.271,20319.434,20331.807,20035.221,10018.39,8131.03,8119.569,03-12-0202,"Jan 1",0.3161,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","TORO II",4314553.161,7602941.167,5255109.05,64667.203,65397.217,51966.73,19852.189,22927.838,41569.764,03-12-0202,"Jan 1",0.3497,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","TORO III",3165161.677,5584927.758,3904770.028,45527.955,45529.844,38951.441,15348.127,16880.613,30631.406,03-12-0202,"Jan 1",0.3579,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","LAS PAILAS",4576337.225,8285816.245,9212990.087,30002.26,30043,30023.287,29671.248,29838.871,29774.16,25-12-0202,"Jan 1",0.8477,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","PAILAS II",2480259.141,4494203.907,5287807.639,46091.973,46147.41,46246.066,45772.773,-239.774,-165.174,01-12-0202,"Jan 1",0.3171,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","PEÑAS BLANCAS",2578385.363,4113476.311,2741150.758,35475.344,35491.125,35518.352,26796.236,11756.94,11753.783,01-12-0202,"Jan 1",0.3502,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ",PIRRÍS,11468278.456,21178138.382,19304444.67,138734.328,138750.68,138626.711,138641.938,138426.656,136384.703,05-12-0202,"Jan 1",0.4988,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ",REVENTAZON,17256955.405,29816562.679,29120605.182,268648.675,303003.591,230356.227,230257.345,230370.778,177756.227,23-12-0202,"Jan 1",0.3345,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","RÍO MACHO",9615237.139,17050238.37,14251027.429,124178.148,124021.912,137251.898,55925.923,51418.251,70076.956,01-12-0202,"Jan 1",0.3928,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","MIRAVALLES III",3466891.61,6224877.974,6961970.433,26771.426,27030.002,27179.719,19890.914,19810.57,19801.984,31-12-0202,"Jan 1",0.8284,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","SOLAR MIRAVALLES",69274.5,,,,,,,,,27-10-2025,,0.0931,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","MIRAVALLES V",0,0,0,-25.26,-25.164,-27.649,-29.751,-28.05,-30.518,23-12-0202,"Jan 1",0.0000,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","MOÍN GAS II",0,319493.475,0,-41.498,29793.535,-44.384,-51.267,-51.11,-51.031,09-12-0202,"Jan 1",0.0044,123990,0,0,0,0,75526618.41,0,0,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","MOÍN GAS III",0,0,0,-62.445,-59.542,-62.169,-85.707,-94.856,-84.8,04-12-0202,"Jan 1",0.0000,0,0,0,0,0,0,0,0,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ",OROTINA,0,0,0,0.288,0,0,0,0,0,15-12-0202,"Jan 1",0.0000,0,0,0,0,0,0,0,0,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ",ECHANDI,2530199,,,,,,,,,27-10-2025,,0.7909,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ",GARABITO,134585.159,342283.581,4428.267,48937.589,49540.812,15781.179,-503.095,-396.948,-447.273,14-12-0202,"Jan 1",0.0033,124309,0,152573,0,0,89621532.28,0,55669175.12,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","LA GARITA ",3784417.58,6824881.385,5960728.566,37470.754,37683.375,37540.578,19545.887,23264.465,27151.381,25-12-0202,"Jan 1",0.5568,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ",GUÁPILES,0,16306.991,0,0,6465.861,0,-39.415,0,-64.212,20-12-0202,"Jan 1",0.0016,4585,0,0,0,0,2861028.95,0,0,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","MIRAVALLES I",7266359.405,13108496.915,14700929.739,50208.98,50201.375,50291.969,47109.035,49889.438,41422.172,12-12-0202,"Jan 1",1.0000,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","MIRAVALLES II",1581981.984,2712294.693,2935086.105,43141.949,46336.246,43248.141,0,12421.767,37194.797,28-12-0202,"Jan 1",0.2296,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ",ANGOSTURA,15596168.252,24010212.866,15438592.282,176344.477,175965.086,172365.613,166405.438,163900.371,81774.933,22-12-0202,"Jan 1",0.4110,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ",ARENAL,15142250.01,26659639.958,28570513.876,159973.797,159815.164,159755.223,48767.07,103275.66,103503.926,17-12-0202,"Jan 1",0.5698,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","BOCA DE POZO",650200.216,1163851.012,1330164.442,4313.733,4317.318,4321.36,4296.892,4303.046,4296.964,01-12-0202,"Jan 1",0.8452,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ",CACHÍ,11506547.238,19051942.186,19115902.67,153459.852,154013.559,147238.816,143760.164,95442.721,106818.434,05-12-0202,"Jan 1",0.4199,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ",CARIBLANCO,4770615.739,8959319.951,4563199.815,69617.336,67669.785,53805.125,35422.206,31158.53,41637.009,03-12-0202,"Jan 1",0.2998,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Diciembre ","MIGUEL DENGO",17011460.174,29960983.132,32155679.95,177219.848,177263.254,176070.988,57401.719,117124.824,116124.68,31-12-0202,"Jan 1",0.6112,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Diciembre ","DANIEL GUTIÉRREZ",2083623.022,1964323.322,2264306.631,18301.219,18990.627,18923.391,13250.846,13402.13,9009.658,12-12-0202,"Jan 1",0.4217,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Diciembre ","EL ENCANTO",854528.067,1513800.095,1644904.385,8385.021,8390.751,8388.217,5640.349,5640.833,5517.817,12-12-0202,"Jan 1",0.5938,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Diciembre ",ELECTRIONA,652884.974,441860.645,479833.986,5232.881,4710.573,4695.449,4568.466,879.212,1850.949,12-12-0202,"Jan 1",0.3633,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Diciembre ","RÍO SEGUNDO",143075.919,170083.908,187404.169,999.242,977.878,963.645,928.159,924.477,934.548,12-12-0202,"Jan 1",0.5382,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Diciembre ","P.E VALLE CENTRAL",819910.695,1382038.51,1733437.812,13752.576,15058.961,14577.182,0,7.871,446.909,12-12-0202,"Jan 1",0.3457,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Diciembre ",VENTANAS,376786.939,551912.97,597190.925,10138.276,10176.435,10084.598,2314.43,701.006,1532.542,12-12-0202,"Jan 1",0.1820,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Diciembre ","BALSA INFERIOR",4023987.535,1812506.3,1398161.942,36367.364,35088.833,31981.163,29197.411,16117.619,14234.422,12-12-0202,"Jan 1",0.2593,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Diciembre ",BELÉN,370895.41,668137.952,741622.08,2445.011,3283.008,2430.815,2423.149,2403.523,2421.272,12-12-0202,"Jan 1",0.2279,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Diciembre ",BRASIL,2994691.757,2194881.253,1554927.056,24445.393,24501.395,20642.17,5892.208,24257.404,17210.58,12-12-0202,"Jan 1",0.3777,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Diciembre ",COTE,477750.264,593820.53,657.712,6878.237,6877.264,2630.847,6751.979,6754.279,0,12-12-0202,"Jan 1",0.2124,,,,,,,,,,
"EMPRESA DE SERVICIOS PUBLICOS DE HEREDIA S.A.",2022,"Diciembre ","Jorge Manuel Dengo",690567.767,845470.569,696250.826,4587.279,4578.75,3786.434,4476.613,3617.239,2513.625,09-12-0202,"Jan 1",0.7140,,,,,,,,,,
"EMPRESA DE SERVICIOS PUBLICOS DE HEREDIA S.A.",2022,"Diciembre ","LOS NEGROS",1322475,2354667,2551395,8736,8778,8736,8694,8694,8694,09-12-0202,"Jan 1",0.4650,,,,,,,,,,
"EMPRESA DE SERVICIOS PUBLICOS DE HEREDIA S.A.",2022,"Diciembre ",TACARES,828511.858,935458.849,1110300.732,6122.082,4648.094,5065.801,5544,3075.78,2893.448,09-12-0202,"Jan 1",0.5680,,,,,,,,,,
"EMPRESA DE SERVICIOS PUBLICOS DE HEREDIA S.A.",2022,"Diciembre ","LOS NEGROS II",3825701.545,5626547.276,6320711.515,28276.678,28313.373,28345.135,28091.857,28095.957,20519.129,09-12-0202,"Jan 1",0.7620,,,,,,,,,,
"COOPERATIVA DE ELECTRIFICACION RURAL DE SAN CARLOS R.L.",2022,"Diciembre ",CHOCOSUELAS,2586190.159,4675592.494,701906.366,25285.26,25543.293,17804.783,19534.053,20000.846,6741.486,16-12-0202,"Jan 1",0.4080,,,,,,,,,,
"COOPERATIVA DE ELECTRIFICACION RURAL DE SAN CARLOS R.L.",2022,"Diciembre ","LA ESPERANZA",603447.576,776862.136,467820.656,14669.855,14868.201,14612.556,2932.288,2599.131,2118.552,16-12-0202,"Jan 1",0.4430,,,,,,,,,,
"COOPERATIVA DE ELECTRIFICACION RURAL DE SAN CARLOS R.L.",2022,"Diciembre ","AGUAS ZARCAS",1283754.742,2291755.136,1318869.193,15301.688,15327.86,14854.166,7397.626,7384.993,4464.773,16-12-0202,"Jan 1",0.4520,,,,,,,,,,
